timestamp,tag,duration,package_0,package_1,PKG,dram_0,dram_1,DRAM,nvidia_gpu_0
1697203376,test_SVM_classification,2310.903902,50355401490,62596809960,112952211450,5064032100,5405018760,10469050860,15473780
1697200076,test_SVM_classification,2309.306188,50290808750,62396292290,112687101040,5088534890,5418274060,10506808950,15932960
1697205938,test_SVM_classification,2308.865628,50274627770,62321410280,112596038050,5077888850,5413942330,10491831180,15566180
1697204072,test_SVM_classification,2310.215102,50305800170,63118656770,113424456940,5095472980,5385253300,10480726280,15794380
1697204575,test_SVM_classification,2310.474586,50370694420,63148048790,113518743210,5082302750,5437386360,10519689110,15820750
1697205617,test_SVM_classification_inference,864.8792552,18820192300,23121254290,41941446590,1904194540,1917469440,3821663980,5864970
1697200464,test_SVM_classification_inference,861.5558528,18752263390,23487048640,42239312030,1899456290,1908247050,3807703340,5821740
1697205586,test_SVM_classification_inference,865.6030702,18844389020,23607062980,42451452000,1903850910,1923589440,3827440350,5873090
1697204102,test_SVM_classification_inference,862.87642,18794118140,23143773150,41937891290,1902212430,1915356360,3817568790,5876100
1697200259,test_SVM_classification_inference,863.837862,18802956010,23125615850,41928571860,1894952270,1916683780,3811636050,5849210
1697203582,test_SVM_classification_inference,863.8720036,18808960640,23542914580,42351875220,1896955510,1926184470,3823139980,5909790
1697203891,test_SVM_classification_inference,863.664422,18792295030,23546034690,42338329720,1904414100,1917482900,3821897000,5867080
1697200112,test_SVM_classification_inference,863.489399,18792597760,23545208890,42337806650,1901931680,1921649550,3823581230,5928580
1697205254,test_SVM_classification_inference,864.5927858,18816973930,23575681220,42392655150,1904472850,1924867910,3829340760,5886450
